なにが ほしいですか。	Anda ingin apa?	ဘာလိုချင်လဲ။
ありがとうございます。では、この ほんを もって きて ください。	Terima kasih. Kalau begitu, tolong bawakan buku ini.	ကျေးဇူးတင်ပါတယ်။ ဒါဆိုရင် ဒီစာအုပ်ကို ယူလာပေးပါ။
はい。いま だれが にほんごを べんきょうして いますか。	Baik. Sekarang siapa yang sedang belajar bahasa Jepang?	ဟုတ်ကဲ့။ အခု ဘယ်သူက ဂျပန်စာ လေ့လာနေလဲ။
ミラーさんが べんきょうして います。	Pak Miller yang sedang belajar.	Miller က လေ့လာနေပါတယ်။
そうですか。がんばって いますね。	Oh begitu. Dia rajin sekali, ya.	ဟုတ်လား။ ကြိုးစားနေတယ်နော်။
ここで しゃしんを とっても いいですか。	Boleh mengambil foto di sini?	ဒီမှာ ဓာတ်ပုံရိုက်လို့ ရမလား။
すみません、ここでは とっては いけません。	Maaf, di sini tidak boleh mengambil foto.	စိတ်မကောင်းပါဘူး၊ ဒီမှာတော့ မရိုက်ရပါဘူး။
えんぴつで かいても いいですか。	Boleh menulis dengan pensil?	ခဲတံနဲ့ ရေးလို့ ရမလား။
はい、えんぴつは いいですよ。	Ya, pensil boleh.	ဟုတ်ကဲ့၊ ခဲတံကတော့ ရပါတယ်။
たべても いいですか。	Boleh makan?	စားလို့ ရမလား။
いいえ、としょかんでは たべては いけません。	Tidak, di perpustakaan tidak boleh makan.	မရပါဘူး၊ စာကြည့်တိုက်မှာ မစားရပါဘူး။
すみません、いまどこに すんで いますか。	Maaf, sekarang Anda tinggal di mana?	တစ်ဆိတ်လောက်၊ အခု ဘယ်မှာ နေလဲ။
さくらアパートに すんで います。	Tinggal di Apartemen Sakura.	Sakura တိုက်ခန်းမှာ နေပါတယ်။
どこで はたらいて いますか。	Anda bekerja di mana?	ဘယ်မှာ အလုပ်လုပ်နေလဲ။
IMCで はたらいて います。えきの ちかくです。	Bekerja di IMC. Dekat stasiun.	IMC မှာ အလုပ်လုပ်နေပါတယ်။ ဘူတာအနီးမှာပါ။
ここで タバコを すっても いいですか。	Boleh merokok di sini?	ဒီမှာ ဆေးလိပ်သောက်လို့ ရမလား။
いいえ、ここでは すっては いけません。そとで すって ください。	Tidak, di sini tidak boleh merokok. Silakan merokok di luar.	မရပါဘူး၊ ဒီမှာ မသောက်ရပါဘူး။ အပြင်မှာ သောက်ပါ။
おさけを のんでも いいですか。	Boleh minum alkohol?	အရက်သောက်လို့ ရမလား။
ここでは のんでは いけません。	Di sini tidak boleh minum.	ဒီမှာတော့ မသောက်ရပါဘူး။
じゃあ、ジュースは？	Kalau jus?	ဒါဆိုရင် ဖျော်ရည်ကရော။
ジュースは いいですよ。	Jus boleh.	ဖျော်ရည်ကတော့ ရပါတယ်။
あなたは いま どこに すんで いますか。	Sekarang Anda tinggal di mana?	ခင်ဗျားက အခု ဘယ်မှာ နေလဲ။
とうきょうに すんで います。	Tinggal di Tokyo.	တိုကျိုမှာ နေပါတယ်။
ひとりで すんで いますか。	Apakah Anda tinggal sendiri?	တစ်ယောက်တည်း နေတာလား။
いいえ、かぞくと すんで います。	Tidak, tinggal dengan keluarga.	မဟုတ်ပါဘူး၊ မိသားစုနဲ့ နေပါတယ်။
あした なにを しますか。	Besok Anda melakukan apa?	မနက်ဖြန် ဘာလုပ်မလဲ။
こうべへ いって、えいがを みて、かいものします。	Pergi ke Kobe, menonton film, lalu berbelanja.	ခိုးဘဲးကို သွားပြီး ရုပ်ရှင်ကြည့်ပြီး ဈေးဝယ်ပါမယ်။
たのしそうですね。なんで いきますか。	Kelihatannya menyenangkan. Naik apa perginya?	ပျော်စရာကောင်းမယ့်ပုံပဲနော်။ ဘာနဲ့ သွားမလဲ။
でんしゃで いきます。えきへ いってから、きっぷを かいます。	Naik kereta. Setelah sampai stasiun, beli tiket.	ရထားနဲ့ သွားပါမယ်။ ဘူတာကို ရောက်ပြီးမှ လက်မှတ်ဝယ်ပါမယ်။
うちへ かえってから なにを しますか。	Setelah pulang ke rumah, Anda melakukan apa?	အိမ်ပြန်ရောက်ပြီးရင် ဘာလုပ်မလဲ။
ばんごはんを たべて、テレビを みます。	Makan malam, lalu menonton TV.	ညစာစားပြီး တီဗီကြည့်ပါမယ်။
カリナさんは どんな ひとですか。	Karina orang yang seperti apa?	Karina က ဘယ်လိုလူမျိုးလဲ။
せが たかくて、かみが ながいひとです。	Orangnya tinggi dan berambut panjang.	အရပ်ရှည်ပြီး ဆံပင်ရှည်တဲ့သူပါ။
やさしいですか。	Apakah dia baik hati?	သဘောကောင်းလား။
はい、やさしくて、あたまも いいひとです。	Ya, baik hati dan juga pintar.	ဟုတ်ကဲ့၊ သဘောကောင်းပြီး ဉာဏ်လည်းကောင်းတဲ့သူပါ။
ミラーさんは どんな ひとですか。	Pak Miller orang yang seperti apa?	Miller က ဘယ်လိုလူမျိုးလဲ။
わかくて、げんきな ひとです。	Orangnya muda dan enerjik.	ငယ်ပြီး တက်ကြွတဲ့သူပါ။
しごとは？	Pekerjaannya?	အလုပ်ကရော။
えいごの せんせいです。にほんへ きてから、にほんごを べんきょうして います。	Guru bahasa Inggris. Setelah datang ke Jepang, dia belajar bahasa Jepang.	အင်္ဂလိပ်စာ ဆရာပါ။ ဂျပန်ကို ရောက်ပြီးကတည်းက ဂျပန်စာ လေ့လာနေပါတယ်။
ともだちと でかけますか。	Apakah dia pergi keluar dengan teman?	သူငယ်ချင်းတွေနဲ့ အပြင်ထွက်လား။
はい、よく えいがを みて、しょくじを します。	Ya, sering menonton film lalu makan bersama.	ဟုတ်ကဲ့၊ ရုပ်ရှင်ကြည့်ပြီး ထမင်းအတူစားလေ့ရှိပါတယ်။
えいがを みてから、どこへ いきますか。	Setelah menonton film, pergi ke mana?	ရုပ်ရှင်ကြည့်ပြီးရင် ဘယ်သွားလဲ။
いつも レストランへ いきます。たべて、はなして、たのしいです。	Selalu pergi ke restoran. Makan, mengobrol, menyenangkan.	အမြဲတမ်း စားသောက်ဆိုင်ကို သွားပါတယ်။ စားရင်း ပြောရင်း ပျော်စရာကောင်းပါတယ်။
いいですね。わたしも いっしょに いきたいです。	Bagus, ya. Saya juga ingin ikut.	ကောင်းတယ်နော်။ ကျွန်တော်လည်း အတူတူ လိုက်ချင်ပါတယ်။
では、こんど いっしょに いきましょう。	Kalau begitu, lain kali ayo pergi bersama.	ဒါဆိုရင် နောက်တစ်ခါ အတူတူ သွားကြရအောင်။
