なにが すきですか。	Anda suka apa?	ဘာကြိုက်လဲ။
ぎんこうの となりに きっさてんが あります。	Di sebelah bank ada kedai kopi.	ဘဏ်ဘေးမှာ ကော်ဖီဆိုင် ရှိပါတယ်။
ミラーさんの うちは どこに ありますか。	Rumah Pak Miller ada di mana?	Miller ရဲ့အိမ်က ဘယ်မှာလဲ။
おおさかに あります。	Ada di Osaka.	အိုဆာကာမှာ ရှိပါတယ်။
おおさかの どこですか。	Di Osaka bagian mana?	အိုဆာကာရဲ့ ဘယ်နေရာမှာလဲ။
えきの ちかくです。	Dekat stasiun.	ဘူတာအနီးမှာပါ။
やまださんは どこに いますか。	Pak Yamada ada di mana?	Yamada က ဘယ်မှာလဲ။
あそこに います。	Ada di sana.	ဟိုမှာ ရှိပါတယ်။
いぬも いますか。	Apakah ada anjing juga?	ခွေးလည်း ရှိလား။
はい、にわに います。	Ya, ada di halaman.	ဟုတ်ကဲ့၊ ခြံထဲမှာ ရှိပါတယ်။
ねこは どこに いますか。	Kucing ada di mana?	ကြောင်က ဘယ်မှာလဲ။
ねこは へやの なかに います。	Kucing ada di dalam kamar.	ကြောင်က အခန်းထဲမှာ ရှိပါတယ်။
でんわは どこに ありますか。	Telepon ada di mana?	ဖုန်းက ဘယ်မှာလဲ။
テーブルの うえに あります。	Ada di atas meja.	စားပွဲပေါ်မှာ ရှိပါတယ်။
かばんは？	Kalau tas?	အိတ်ကရော။
いすの したに あります。	Ada di bawah kursi.	ကုလားထိုင်အောက်မှာ ရှိပါတယ်။
みかんは いくつ ありますか。	Ada berapa jeruk?	လိမ္မော်သီး ဘယ်နှစ်လုံး ရှိလဲ။
みっつ あります。	Ada tiga.	သုံးလုံး ရှိပါတယ်။
きってを かいましたか。	Apakah Anda membeli perangko?	တံဆိပ်ခေါင်း ဝယ်ခဲ့လား။
はい、80えんの きってを 1まい かいました。	Ya, membeli satu perangko 80 yen.	ဟုတ်ကဲ့၊ ယန်း ၈၀ တံဆိပ်ခေါင်း တစ်ရွက် ဝယ်ခဲ့ပါတယ်။
このクラスに がくせいは なんにん いますか。	Ada berapa siswa di kelas ini?	ဒီအတန်းမှာ ကျောင်းသား ဘယ်နှစ်ယောက် ရှိလဲ။
りゅうがくせいが 3にん います。	Ada 3 pelajar asing.	နိုင်ငံခြားကျောင်းသား ၃ ယောက် ရှိပါတယ်။
1しゅうかんに なんかい えいがを みますか。	Berapa kali seminggu Anda menonton film?	တစ်ပတ်မှာ ရုပ်ရှင် ဘယ်နှစ်ကြိမ် ကြည့်လဲ။
1かい みます。	Menonton satu kali.	တစ်ကြိမ် ကြည့်ပါတယ်။
にほんから くにまで なんじかん かかりますか。	Dari Jepang sampai negara Anda berapa jam?	ဂျပန်ကနေ နိုင်ငံအထိ ဘယ်နှစ်နာရီ ကြာလဲ။
ひこうきで やく 10じかん かかります。	Naik pesawat sekitar 10 jam.	လေယာဉ်နဲ့ ၁၀ နာရီလောက် ကြာပါတယ်။
くにで どのくらい にほんごを べんきょうしましたか。	Berapa lama Anda belajar bahasa Jepang di negara Anda?	နိုင်ငံမှာ ဂျပန်စာ ဘယ်လောက်ကြာကြာ လေ့လာခဲ့လဲ။
5しゅうかん べんきょうしました。	Belajar 5 minggu.	၅ ပတ် လေ့လာခဲ့ပါတယ်။
むずかしかったですか。	Apakah sulit?	ခက်ခဲ့လား။
はい、すこし むずかしかったです。	Ya, agak sulit.	ဟုတ်ကဲ့၊ နည်းနည်း ခက်ခဲ့ပါတယ်။
にほんまで なんじかん かかりましたか。	Sampai Jepang berapa jam?	ဂျပန်အထိ ဘယ်နှစ်နာရီ ကြာခဲ့လဲ။
くにから にほんまで ひこうきで 4じかん かかりました。	Dari negara saya sampai Jepang 4 jam naik pesawat.	နိုင်ငံကနေ ဂျပန်အထိ လေယာဉ်နဲ့ ၄ နာရီ ကြာခဲ့ပါတယ်။
たかかったですか。	Apakah mahal?	ဈေးကြီးခဲ့လား။
はい、すこし たかかったです。	Ya, agak mahal.	ဟုတ်ကဲ့၊ နည်းနည်း ဈေးကြီးခဲ့ပါတယ်။
また くにへ かえりますか。	Apakah Anda akan pulang lagi ke negara Anda?	နိုင်ငံကို ထပ်ပြန်မလား။
はい、3かげつに 1かい かえります。	Ya, pulang sekali setiap 3 bulan.	ဟုတ်ကဲ့၊ ၃ လကို တစ်ကြိမ် ပြန်ပါတယ်။
きょうとは どうでしたか。	Bagaimana Kyoto?	ကျိုတိုက ဘယ်လိုလဲ။
きれいでした。とても よかったです。	Indah. Sangat menyenangkan.	လှပါတယ်။ အရမ်းကောင်းပါတယ်။
てんきは どうでしたか。	Bagaimana cuacanya?	ရာသီဥတုက ဘယ်လိုလဲ။
すこし さむかったです。でも、たのしかったです。	Agak dingin. Tapi menyenangkan.	နည်းနည်း ချမ်းခဲ့ပါတယ်။ ဒါပေမယ့် ပျော်ခဲ့ပါတယ်။
とうきょうと おおさかと どちらが おおきいですか。	Tokyo dan Osaka, mana yang lebih besar?	တိုကျိုနဲ့ အိုဆာကာ ဘယ်ဟာက ပိုကြီးလဲ။
とうきょうの ほうが おおきいです。	Tokyo lebih besar.	တိုကျိုက ပိုကြီးပါတယ်။
にほんごと えいごと どちらが むずかしいですか。	Bahasa Jepang dan bahasa Inggris, mana yang lebih sulit?	ဂျပန်စာနဲ့ အင်္ဂလိပ်စာ ဘယ်ဟာက ပိုခက်လဲ။
わたしには にほんごの ほうが むずかしいです。	Bagi saya bahasa Jepang lebih sulit.	ကျွန်တော့်အတွက်တော့ ဂျပန်စာက ပိုခက်ပါတယ်။
スポーツで なにが いちばん すきですか。	Olahraga apa yang paling Anda suka?	အားကစားထဲမှာ ဘာကို အကြိုက်ဆုံးလဲ။
サッカーが いちばん すきです。	Paling suka sepak bola.	ဘောလုံးကို အကြိုက်ဆုံးပါ။
きのうの しけんは どうでしたか。	Bagaimana ujian kemarin?	မနေ့က စာမေးပွဲ ဘယ်လိုလဲ။
むずかしかったです。	Sulit.	ခက်ခဲ့ပါတယ်။
えいごの しけんも むずかしかったですか。	Apakah ujian bahasa Inggris juga sulit?	အင်္ဂလိပ်စာ စာမေးပွဲလည်း ခက်ခဲ့လား။
えいごは やさしかったです。にほんごが むずかしかったです。	Bahasa Inggris mudah. Bahasa Jepang yang sulit.	အင်္ဂလိပ်စာက လွယ်ပါတယ်။ ဂျပန်စာက ခက်ခဲ့ပါတယ်။
きのうは さむかったですか。	Apakah kemarin dingin?	မနေ့က ချမ်းခဲ့လား။
はい、とても さむかったです。	Ya, sangat dingin.	ဟုတ်ကဲ့၊ အရမ်းချမ်းခဲ့ပါတယ်။
ゆきが ふりましたか。	Apakah turun salju?	နှင်းကျခဲ့လား။
いいえ、でも とても つめたかったです。	Tidak, tapi sangat dingin sekali.	မကျပါဘူး၊ ဒါပေမယ့် အရမ်းအေးခဲ့ပါတယ်။
はると なつと どちらが すきですか。	Musim semi dan musim panas, mana yang Anda suka?	နွေဦးရာသီနဲ့ နွေရာသီ ဘယ်ဟာကို ပိုကြိုက်လဲ။
はるの ほうが すきです。あたたかいですから。	Lebih suka musim semi. Karena hangat.	နွေဦးရာသီကို ပိုကြိုက်ပါတယ်။ နွေးထွေးလို့ပါ။
