ここでは タバコを すわないで ください。	Di sini jangan merokok.	ဒီမှာ ဆေးလိပ် မသောက်ပါနဲ့။
にほんごの しんぶんを よんだことが ありますか。	Apakah Anda pernah membaca koran bahasa Jepang?	ဂျပန်သတင်းစာ ဖတ်ဖူးလား။
いいえ、まだ ありません。かんじが むずかしいですから。	Belum pernah. Karena kanjinya sulit.	မဖတ်ဖူးသေးပါဘူး။ ခန်းဂျီးက ခက်လို့ပါ။
まいにち なにを していますか。	Setiap hari Anda melakukan apa?	နေ့တိုင်း ဘာလုပ်နေလဲ။
にほんごを べんきょうしたり、まちを さんぽしたり しています。	Belajar bahasa Jepang, jalan-jalan keliling kota, dan lain-lain.	ဂျပန်စာလေ့လာလိုက် မြို့ထဲလမ်းလျှောက်လိုက် လုပ်နေပါတယ်။
にほんご、じょうずに なりましたね。	Bahasa Jepang Anda sudah pandai, ya.	ဂျပန်စကား တော်လာပြီနော်။
ありがとうございます。まだまだですが、すこしずつ じょうずに なっています。	Terima kasih. Masih jauh, tapi sedikit demi sedikit menjadi lebih baik.	ကျေးဇူးတင်ပါတယ်။ လိုသေးပေမယ့် တဖြည်းဖြည်း တော်လာပါပြီ။
これからも がんばって ください。	Teruslah berusaha.	ရှေ့ဆက်လည်း ကြိုးစားပါနော်။
はい、もっと がんばります。	Ya, saya akan lebih berusaha.	ဟုတ်ကဲ့၊ ပိုကြိုးစားပါမယ်။
らいしゅう とうきょうへ いく？	Minggu depan kamu pergi ke Tokyo?	နောက်အပတ် တိုကျို သွားမလား။
うん、かいぎが ある。	Iya, ada rapat.	အင်း၊ အစည်းအဝေး ရှိတယ်။
まいにち いそがしい？	Setiap hari sibuk?	နေ့တိုင်း အလုပ်များလား။
うん、ちょっと いそがしい。しごとが おおい。	Iya, agak sibuk. Pekerjaannya banyak.	အင်း၊ နည်းနည်း အလုပ်များတယ်။ အလုပ်တွေ အများကြီးပဲ။
あした ひま？	Besok senggang?	မနက်ဖြန် အားလား။
あした？ ちょっと……しやくしょへ いかなければ ならない。	Besok? Agak sulit... harus pergi ke kantor kota.	မနက်ဖြန်လား။ နည်းနည်း... မြို့တော်ရုံးကို သွားရမယ်။
そう。じゃあ、こんど あそぼう。	Oh. Kalau begitu, lain kali kita main, ya.	အင်း။ ဒါဆိုရင် နောက်တစ်ခါ အတူဆော့ကြမယ်နော်။
うん、らいしゅうは ひまだ。	Iya, minggu depan aku senggang.	အင်း၊ နောက်အပတ်တော့ အားတယ်။
じゃあ、らいしゅうの どようびは？	Kalau begitu, Sabtu minggu depan?	ဒါဆိုရင် နောက်အပတ် စနေနေ့ကရော။
どようびは いい。いっしょに いこう。	Sabtu boleh. Ayo pergi bersama.	စနေနေ့ ရတယ်။ အတူတူ သွားကြမယ်။
きょう なにを した？	Hari ini kamu ngapain?	ဒီနေ့ ဘာလုပ်ခဲ့လဲ။
としょかんで ほんを よんだ。	Membaca buku di perpustakaan.	စာကြည့်တိုက်မှာ စာအုပ်ဖတ်ခဲ့တယ်။
むずかしい ほん？	Buku yang sulit?	ခက်တဲ့စာအုပ်လား။
うん、でも おもしろい。にほんごの べんきょうを しなければ ならないから。	Iya, tapi menarik. Soalnya aku harus belajar bahasa Jepang.	အင်း၊ ဒါပေမယ့် စိတ်ဝင်စားစရာကောင်းတယ်။ ဂျပန်စာ လေ့လာရမှာမို့လို့။
しけんが ある？	Ada ujian?	စာမေးပွဲ ရှိလား။
らいしゅう しけんが ある。まいにち べんきょうしなければ ならない。	Minggu depan ada ujian. Harus belajar setiap hari.	နောက်အပတ် စာမေးပွဲရှိတယ်။ နေ့တိုင်း လေ့လာရမယ်။
がんばってね。てつだおうか？	Semangat, ya. Perlu kubantu?	ကြိုးစားနော်။ ကူညီပေးရမလား။
ありがとう。じゃあ、いっしょに べんきょうしよう。	Terima kasih. Kalau begitu, ayo belajar bersama.	ကျေးဇူးပဲ။ ဒါဆိုရင် အတူတူ လေ့လာကြမယ်။
いいよ。なんじに くる？	Boleh. Jam berapa kamu datang?	ရတယ်။ ဘယ်နှစ်နာရီ လာမလဲ။
3じごろ いく。	Sekitar jam 3.	၃ နာရီလောက် လာမယ်။
