田中さんに10分ほど遅れると伝えていただけませんか。	Bisakah Anda menyampaikan kepada Pak Tanaka bahwa saya terlambat sekitar 10 menit?	Tanaka ကို ၁၀ မိနစ်လောက် နောက်ကျမယ်လို့ ပြောပေးလို့ရမလား။
わかりました。田中さんは昨日5時に来ると言っていましたよ。	Baik. Pak Tanaka kemarin bilang akan datang jam 5.	ဟုတ်ကဲ့။ Tanaka က မနေ့က ၅ နာရီမှာ လာမယ်လို့ ပြောခဲ့ပါတယ်။
そうでしたね。急いで向かいます。	Benar juga. Saya segera ke sana.	ဟုတ်တယ်နော်။ အမြန် သွားပါမယ်။
あそこに「車を止めるな」と書いてありますよ。	Di sana tertulis "Dilarang parkir".	ဟိုမှာ 「車を止めるな」 (ကားမရပ်ရ) လို့ ရေးထားပါတယ်။
あ、本当だ。気がつきませんでした。	Ah, benar. Saya tidak sadar.	အာ့၊ ဟုတ်ပါလား။ သတိမထားမိခဲ့ပါဘူး။
このマークは止まれという意味ですか。	Apakah tanda ini berarti "berhenti"?	ဒီအမှတ်အသားက ရပ်ပါဆိုတဲ့ အဓိပ္ပာယ်လား။
そうですね。交通ルールは大切ですね。	Benar. Peraturan lalu lintas itu penting, ya.	ဟုတ်ပါတယ်။ ယာဉ်စည်းကမ်းက အရေးကြီးတယ်နော်။
日本語の標識は読めますか。	Apakah Anda bisa membaca rambu berbahasa Jepang?	ဂျပန်လို ဆိုင်းဘုတ်တွေ ဖတ်တတ်လား။
ひらがなとカタカナは読めますが、漢字はまだ難しいです。	Hiragana dan katakana bisa, tapi kanji masih sulit.	ဟိရဂနနဲ့ ခတခနတော့ ဖတ်တတ်ပေမယ့် ခန်းဂျီးက ခက်သေးပါတယ်။
少しずつ覚えていけば大丈夫ですよ。	Kalau dihafal sedikit demi sedikit, pasti bisa.	တဖြည်းဖြည်း မှတ်သွားရင် ရပါတယ်။
この料理、どうやって作るんですか。	Masakan ini, bagaimana cara membuatnya?	ဒီဟင်းကို ဘယ်လို ချက်တာလဲ။
説明書の通りに作れば大丈夫ですよ。	Kalau dibuat sesuai petunjuk, pasti bisa.	ညွှန်ကြားချက်အတိုင်း ချက်ရင် ရပါတယ်။
まず何からしますか。	Pertama mulai dari apa?	အရင်ဆုံး ဘာကစလုပ်ရမလဲ။
仕事が終わった後で、材料を切ります。	Setelah pekerjaan selesai, memotong bahan-bahan.	အလုပ်ပြီးတဲ့နောက်မှာ ပါဝင်ပစ္စည်းတွေကို လှီးဖြတ်ပါမယ်။
傘を持って出かけますか。今日は雨みたいですね。	Apakah Anda membawa payung? Hari ini sepertinya hujan.	ထီးယူပြီး ထွက်မလား။ ဒီနေ့ မိုးရွာမယ့်ပုံပဲနော်။
そうですね。傘を持って行ったほうがいいですね。	Benar. Sebaiknya bawa payung, ya.	ဟုတ်တယ်နော်။ ထီးယူသွားတာ ကောင်းမယ်နော်။
調味料はどのくらい入れますか。	Bumbunya dimasukkan berapa banyak?	ဟင်းခတ်အမွှေးအကြိုင်တွေ ဘယ်လောက် ထည့်ရမလဲ။
私が言ったとおりに入れてみてください。	Coba masukkan sesuai yang saya katakan.	ကျွန်တော်ပြောတဲ့အတိုင်း ထည့်ကြည့်ပါ။
日曜日はどこにも行かないで、うちにいますか。	Hari Minggu apakah Anda di rumah saja, tidak pergi ke mana-mana?	တနင်္ဂနွေနေ့ ဘယ်မှမသွားဘဲ အိမ်မှာပဲ နေမလား။
はい、ゆっくり家で過ごすつもりです。	Ya, saya berencana bersantai di rumah.	ဟုတ်ကဲ့၊ အိမ်မှာ အေးအေးဆေးဆေး နေဖို့ စိတ်ကူးထားပါတယ်။
東京スカイツリーに登りたいんですが、どうすればいいですか。	Saya ingin naik Tokyo Skytree, bagaimana caranya?	Tokyo Skytree ကို တက်ချင်လို့ ဘယ်လိုလုပ်ရမလဲ။
説明書を読めば、使い方がわかります。	Kalau membaca petunjuk, Anda akan mengerti cara pakainya.	ညွှန်ကြားချက်ကို ဖတ်ရင် သုံးနည်း သိပါလိမ့်မယ်။
早く行かないと混んでしまいますか。	Kalau tidak pergi cepat, apakah akan ramai?	စောစောမသွားရင် လူစည်သွားမလား။
6時に起きなければ、電車に乗り遅れますよ。	Kalau tidak bangun jam 6, Anda akan ketinggalan kereta.	၆ နာရီ မထရင် ရထားမမီတော့ဘူးနော်။
もみじを見たいんですが、どこがいいですか。	Saya ingin melihat daun momiji, di mana yang bagus?	မွမ်းဂျီးရွက် (ဆောင်းဦးရွက်နီ) ကြည့်ချင်လို့ ဘယ်နေရာက ကောင်းလဲ။
もみじなら、日光がいいですよ。	Kalau momiji, Nikko bagus.	ရွက်နီဆိုရင် နစ်ကိုးက ကောင်းပါတယ်။
体の調子がよければ行けますが、まだ少し心配です。	Kalau kondisi badan baik saya bisa pergi, tapi masih agak khawatir.	နေကောင်းရင် သွားနိုင်ပေမယ့် နည်းနည်း စိုးရိမ်နေသေးပါတယ်။
もう少し休めば、きっとよくなりますよ。	Kalau istirahat sedikit lagi, pasti membaik.	နောက်ထပ် နည်းနည်း နားလိုက်ရင် သေချာပေါက် သက်သာလာပါလိမ့်မယ်။
では、来週行こうと思います。	Kalau begitu, saya berencana pergi minggu depan.	ဒါဆိုရင် နောက်အပတ် သွားမယ်လို့ စိတ်ကူးထားပါတယ်။
ぜひ楽しんできてください。	Selamat bersenang-senang.	ပျော်ပျော်ရွှင်ရွှင် သွားလာခဲ့ပါနော်။
日本語の勉強、順調ですか。	Belajar bahasa Jepangnya lancar?	ဂျပန်စာလေ့လာမှုက အဆင်ပြေရဲ့လား။
テレビの日本語がかなりわかるようになりました。	Sekarang saya jadi cukup mengerti bahasa Jepang di TV.	တီဗီထဲက ဂျပန်စကားကို တော်တော် နားလည်လာပါပြီ။
すごいですね！どんな勉強をしましたか。	Hebat! Belajar dengan cara apa?	တော်လိုက်တာနော်။ ဘယ်လို လေ့လာခဲ့လဲ။
日本語が話せるように、毎日練習しています。	Supaya bisa berbicara bahasa Jepang, saya berlatih setiap hari.	ဂျပန်စကား ပြောတတ်လာအောင် နေ့တိုင်း လေ့ကျင့်နေပါတယ်။
何か工夫していることはありますか。	Apakah ada kiat khusus yang Anda lakukan?	ထူးထူးခြားခြား လုပ်နေတာ ရှိလား။
できるだけ10時までに家へ帰るようにしています。	Saya berusaha pulang ke rumah sebelum jam 10 sebisa mungkin.	တတ်နိုင်သမျှ ၁၀ နာရီမတိုင်ခင် အိမ်ပြန်အောင် လုပ်နေပါတယ်။
健康管理も大切ですね。	Menjaga kesehatan juga penting, ya.	ကျန်းမာရေးထိန်းသိမ်းမှုလည်း အရေးကြီးတယ်နော်။
はい、もっと野菜を食べるようにしてください、と先生に言われました。	Ya, dokter menyuruh saya makan lebih banyak sayur.	ဟုတ်ကဲ့၊ ဟင်းသီးဟင်းရွက် ပိုစားပါလို့ ဆရာဝန်က ပြောခဲ့ပါတယ်။
食生活も変えているんですか。	Apakah pola makan Anda juga diubah?	စားသောက်မှုပုံစံလည်း ပြောင်းနေတာလား။
少しずつですが、意識するようにしています。	Sedikit demi sedikit, saya berusaha memperhatikannya.	တဖြည်းဖြည်းပါပဲ၊ ဂရုစိုက်အောင် လုပ်နေပါတယ်။
昨日、何かいいことがありましたか。	Kemarin, apakah ada hal baik?	မနေ့က ကောင်းတဲ့အကြောင်း တစ်ခုခု ရှိခဲ့လား။
はい、部長にほめられました。プレゼンがよかったと言われて。	Ya, saya dipuji kepala bagian. Katanya presentasi saya bagus.	ဟုတ်ကဲ့၊ ဌာနမှူးဆီက ချီးကျူးခံခဲ့ရပါတယ်။ တင်ပြမှုကောင်းတယ်လို့ ပြောခံရလို့ပါ။
よかったですね。どんなプレゼンをしたんですか。	Bagus, ya. Presentasi seperti apa yang Anda lakukan?	ကောင်းတယ်နော်။ ဘယ်လိုတင်ပြမှုမျိုး လုပ်ခဲ့တာလဲ။
新しい商品の説明をしました。	Menjelaskan produk baru.	ကုန်ပစ္စည်းအသစ်အကြောင်း ရှင်းပြခဲ့ပါတယ်။
大阪で展覧会が開かれると聞きましたが、知っていますか。	Saya dengar akan diadakan pameran di Osaka, apakah Anda tahu?	အိုဆာကာမှာ ပြပွဲ ကျင်းပမယ်လို့ ကြားခဲ့တယ်၊ သိလား။
はい、来月から始まるそうです。	Ya, katanya mulai bulan depan.	ဟုတ်ကဲ့၊ နောက်လကနေ စမယ်လို့ ဆိုပါတယ်။
日本の車はいろいろな国へ輸出されていますね。	Mobil Jepang diekspor ke berbagai negara, ya.	ဂျပန်ကားတွေက နိုင်ငံအမျိုးမျိုးကို တင်ပို့ခံနေရတယ်နော်။
そうですね。この美術館は来月壊されるそうで、残念です。	Benar. Museum seni ini katanya akan dibongkar bulan depan, sayang sekali.	ဟုတ်တယ်နော်။ ဒီပြတိုက်က နောက်လမှာ ဖျက်သိမ်းခံရမယ်လို့ ဆိုတော့ နှမြောစရာပါ။
え、本当ですか！行ってみたいです。	Eh, benarkah! Saya ingin pergi melihatnya.	ဟင်၊ တကယ်လား။ သွားကြည့်ချင်ပါတယ်။
今週末に一緒に行きましょうか。	Bagaimana kalau akhir pekan ini kita pergi bersama?	ဒီစနေတနင်္ဂနွေမှာ အတူတူ သွားကြမလား။
どうしたんですか。怒っていますか。	Ada apa? Apakah Anda marah?	ဘာဖြစ်လို့လဲ။ စိတ်ဆိုးနေတာလား။
誰かに自転車を取られてしまったんです。	Sepeda saya diambil seseorang.	တစ်ယောက်ယောက်က စက်ဘီးကို ယူသွားခံရလို့ပါ။
それは大変！警察に届けましたか。	Gawat! Apakah sudah lapor polisi?	အဲဒါ ဒုက္ခပဲ။ ရဲကို တိုင်ပြီးပြီလား။
はい、今朝届けました。でも、見つかるかどうか……。	Ya, tadi pagi saya lapor. Tapi entah akan ketemu atau tidak...	ဟုတ်ကဲ့၊ ဒီမနက် တိုင်ခဲ့ပါတယ်။ ဒါပေမယ့် ပြန်တွေ့မလား မတွေ့ဘူးလား...
気をつけていたのに、残念でしたね。	Padahal sudah hati-hati, sayang sekali, ya.	ဂရုစိုက်ခဲ့တာတောင် စိတ်မကောင်းစရာပဲနော်။
鍵をかけていたのに取られてしまって……。	Padahal sudah dikunci, tapi tetap diambil...	သော့ခတ်ထားတာတောင် ယူသွားခံရလို့...
最近この辺りで自転車が盗まれているらしいです。	Katanya akhir-akhir ini banyak sepeda dicuri di sekitar sini.	ဒီတလော ဒီနားမှာ စက်ဘီးတွေ အခိုးခံနေရတယ်လို့ ဆိုပါတယ်။
え、そうなんですか。知りませんでした。	Eh, begitu, ya. Saya tidak tahu.	ဟင်၊ ဟုတ်လား။ မသိခဲ့ပါဘူး။
新しい自転車を買うつもりですか。	Apakah Anda berencana membeli sepeda baru?	စက်ဘီးအသစ် ဝယ်ဖို့ စိတ်ကူးရှိလား။
しばらくバスで通勤しようと思っています。	Untuk sementara saya berpikir naik bus ke tempat kerja.	ခဏတော့ ဘတ်စ်ကားနဲ့ပဲ အလုပ်သွားမယ်လို့ စဉ်းစားနေပါတယ်။
