趣味は何ですか。	Hobi Anda apa?	ဝါသနာက ဘာလဲ။
大変ですね。いつごろ買えそうですか。	Berat, ya. Kira-kira kapan bisa membeli?	ပင်ပန်းတယ်နော်။ ဘယ်တော့လောက် ဝယ်နိုင်မလဲ။
5年後には買えると思っています。	Saya rasa 5 tahun lagi bisa membeli.	၅ နှစ်အကြာမှာ ဝယ်နိုင်မယ်လို့ ထင်ပါတယ်။
このかばんは絵を運ぶのに使いますか。	Apakah tas ini dipakai untuk membawa lukisan?	ဒီအိတ်ကို ပန်းချီကားသယ်ဖို့ သုံးတာလား။
はい、大きいし、丈夫だし、とても便利なんです。	Ya, besar, kuat, dan sangat praktis.	ဟုတ်ကဲ့၊ ကြီးလည်းကြီး ခိုင်လည်းခိုင်တော့ အရမ်း အသုံးဝင်ပါတယ်။
夢に向かってがんばっているんですね。	Anda berjuang demi impian Anda, ya.	အိပ်မက်ဆီ ဦးတည်ပြီး ကြိုးစားနေတာနော်။
はい、あきらめずに続けます。	Ya, saya akan terus tanpa menyerah.	ဟုတ်ကဲ့၊ လက်မလျှော့ဘဲ ဆက်လုပ်သွားပါမယ်။
あの料理、おいしそうですね。	Masakan itu kelihatannya enak, ya.	ဟိုဟင်းက စားကောင်းမယ့်ပုံပဲနော်။
でも、見た目と違って、まずそうです。食べてみましたか。	Tapi beda dari penampilannya, kelihatannya tidak enak. Apakah sudah mencobanya?	ဒါပေမယ့် အသွင်အပြင်နဲ့မတူဘဲ စားမကောင်းမယ့်ပုံပါ။ စားကြည့်ပြီးပြီလား။
まだです。何が入っているか聞いてみましょうか。	Belum. Bagaimana kalau kita tanya isinya apa?	မစားရသေးပါဘူး။ ဘာတွေပါလဲ မေးကြည့်ကြမလား။
ともひが消えそうです。もっと飲み物を買ってきます。	Lampunya hampir padam. Saya akan membeli minuman lagi.	မီးက ငြိမ်းတော့မယ့်ပုံပါ။ သောက်စရာတွေ ထပ်ဝယ်လာပါမယ်။
一緒に行きますよ。何が必要ですか。	Saya ikut. Apa yang diperlukan?	အတူတူ လိုက်သွားပါမယ်။ ဘာတွေ လိုလဲ။
ジュースと水があれば十分です。	Kalau ada jus dan air, sudah cukup.	ဖျော်ရည်နဲ့ ရေရှိရင် လုံလောက်ပါပြီ။
あの子、眠そうですね。	Anak itu kelihatan mengantuk, ya.	ဟိုကလေးက အိပ်ချင်နေပုံပဲနော်။
今日は朝から練習していたから、疲れたんでしょう。	Karena dari pagi dia berlatih, mungkin dia lelah.	ဒီနေ့ မနက်ကတည်းက လေ့ကျင့်နေခဲ့လို့ ပင်ပန်းသွားတာ ဖြစ်မှာပါ။
もう少ししたら休憩しましょうか。	Sebentar lagi kita istirahat, ya?	နောက်နည်းနည်းကြာရင် နားကြမလား။
そうしましょう。みんなも疲れてきたそうですし。	Ayo. Katanya semuanya juga sudah mulai lelah.	ဒီလိုလုပ်ကြရအောင်။ အားလုံးလည်း ပင်ပန်းလာပြီလို့ ဆိုတော့လေ။
この薬は飲みやすいですか。	Apakah obat ini mudah diminum?	ဒီဆေးက သောက်ရလွယ်လား။
はい、小さくて飲みやすいです。錠剤ではなく粉ですか。	Ya, kecil dan mudah diminum. Apakah bukan tablet tapi bubuk?	ဟုတ်ကဲ့၊ သေးလို့ သောက်ရလွယ်ပါတယ်။ ဆေးပြားမဟုတ်ဘဲ ဆေးမှုန့်လား။
粉です。水と一緒に飲んでください。	Bubuk. Silakan minum dengan air.	ဆေးမှုန့်ပါ။ ရေနဲ့အတူ သောက်ပါ။
昨日、買い物しすぎました。財布がからっぽです。	Kemarin saya belanja terlalu banyak. Dompet saya kosong.	မနေ့က ဈေးဝယ်လွန်သွားပါတယ်။ ပိုက်ဆံအိတ်ထဲ ဘာမှမကျန်တော့ပါဘူး။
何を買ったんですか。	Apa yang Anda beli?	ဘာတွေ ဝယ်ခဲ့တာလဲ။
服を4枚も買ってしまいました。	Saya sampai membeli 4 helai baju.	အဝတ်အစား ၄ ထည်တောင် ဝယ်မိသွားပါတယ်။
ランチは何にしますか。	Makan siang mau pilih apa?	နေ့လယ်စာ ဘာယူမလဲ။
ご飯はカレーライスにします。	Saya pilih nasi kari.	ကာရီထမင်း ယူပါမယ်။
私も同じにします。この天気は変わりやすいですね。	Saya juga sama. Cuaca ini mudah berubah, ya.	ကျွန်တော်လည်း အတူတူပဲ ယူပါမယ်။ ဒီရာသီဥတုက ပြောင်းလွယ်တယ်နော်။
そうですね。傘を持ってきてよかったです。	Benar. Untung saya membawa payung.	ဟုတ်တယ်နော်။ ထီးယူလာခဲ့တာ ကံကောင်းပါတယ်။
電車に遅れる場合は、連絡してください。	Kalau terlambat karena kereta, tolong hubungi saya.	ရထားနောက်ကျမယ်ဆိုရင် အကြောင်းကြားပါ။
はい、わかりました。何時に着けばいいですか。	Baik, mengerti. Harus tiba jam berapa?	ဟုတ်ကဲ့၊ နားလည်ပါပြီ။ ဘယ်နှစ်နာရီ ရောက်ရမလဲ။
9時までに来てください。遅れる場合はすぐに電話を。	Datanglah sebelum jam 9. Kalau terlambat, segera telepon.	၉ နာရီမတိုင်ခင် လာပါ။ နောက်ကျမယ်ဆိုရင် ချက်ချင်း ဖုန်းဆက်ပါ။
一生懸命勉強したのに、試験の点が悪かったです。	Padahal sudah belajar sungguh-sungguh, tapi nilai ujian saya jelek.	ကြိုးကြိုးစားစား လေ့လာခဲ့တာတောင် စာမေးပွဲအမှတ်တွေ မကောင်းခဲ့ပါဘူး။
それは残念でしたね。何が難しかったですか。	Sayang sekali, ya. Apa yang sulit?	စိတ်မကောင်းစရာပဲနော်။ ဘာက ခက်ခဲ့တာလဲ။
文法は大丈夫でしたが、聴解が難しかったです。	Tata bahasa tidak masalah, tapi listening sulit.	သဒ္ဒါကတော့ ရပါတယ်၊ ဒါပေမယ့် အကြားစာက ခက်ခဲ့ပါတယ်။
聴解の練習をもっとしたらどうですか。	Bagaimana kalau berlatih listening lebih banyak?	အကြားလေ့ကျင့်ခန်း ပိုလုပ်ကြည့်ရင် ဘယ်လိုလဲ။
そうですね。ポッドキャストを聞いてみます。	Benar. Saya akan coba mendengarkan podcast.	ဟုတ်တယ်နော်။ ပေါ့ဒ်ကာစ့် နားထောင်ကြည့်ပါမယ်။
毎日少しずつやれば、きっと上手になります。	Kalau dilakukan sedikit demi sedikit setiap hari, pasti akan mahir.	နေ့တိုင်း တဖြည်းဖြည်း လုပ်ရင် သေချာပေါက် တော်လာပါလိမ့်မယ်။
ありがとうございます。次は合格できるようにがんばります。	Terima kasih. Saya akan berusaha supaya lulus di ujian berikutnya.	ကျေးဇူးတင်ပါတယ်။ နောက်တစ်ခါ အောင်အောင် ကြိုးစားပါမယ်။
